SeaWEED ID,Source,Species common name,Species scientific name,Strain,Product,Production_system,Note_on_system,Description,Country,Specific_location,Year,Sample_size,Environment,Intensity,Experimental,Polyculture_IAA,Yield_t_per_Ha,Yield_kg_per_m3,Grow_out_period_days,m2a_t,m3a_t,Mortality_rate,FCR,Feed_type,Feed_soy_percent,Feed_othercrops_percent,Feed_FMFO_percent,Feed_animal_percent,Feed_method,Electricity_kwh,Diesel_L,Petrol_L,NaturalGas_L,Energy_demand,Energy_units,Person_entering,Date_entered,Notes
160,Mungkung-2013-a,Common carp,Cyprinus carpio,,1 tonne fresh,Floating net-cage in polyculture pond,Commercial,Carp produced in two-net aquaculture system (along with tilapia) in small,,,,,,,,Polyculture,,,,,,,,,,,,,,,,,,,,,,
161,Huysveld-2013-a,Pangas catfishes nei,Pangasius spp,,1 tonne live weight,Earthen pond aquaculture,Commercial,Catfish harvested in earthen ponds to be exported to Europe and North America,Vietnam,Mekong Delta,2009-2010,4 farms,,,,,,,216,18,,,1.5,Compound,25,64,9,2,,,,,,,,Rob,12/20/03,
162,Kluts-2012-a,Pangas catfishes nei,Pangasius spp,,t tonne fresh,Intensive pond,Commercial,Catfish harvested from intensive pond systems,Vietnam,Mekong Delta,,28 farms,,Intensive,,,,,,,,,,,,,,,,,,,,,,,,
163,Kluts-2012-a,Pangas catfishes nei,Pangasius spp,,1 tonne fresh,Integrated pond,,,,,,,,,,IAA,,,,,,,,,,,,,,,,,,,,,,
164,Kluts-2012-a,Pangas catfishes nei,Pangasius spp,,1 tonne fresh,Integrated pond,,,,,,,,,,IAA,,,,,,,,,,,,,,,,,,,,,,
165,Besson-2016-a,North African catfish,Clarias gariepinus,,1 tonne at farm gate,Recirculating system,Model,Catfish harvested from a recirculating system,Netherlands,,,1 farm,,Intensive,,,,,,,,,,,,,,,,,,,,,,,,
166,Abdou-2017-a,Gilthead seabream,Sparus aurata,,1 tonne at farm gate,Offshore cages,Commercial,Seabream harvested from offshore floating cages,Tunisia,,2015,1 farm,,Intensive,,,,,,,,,,,,,,,,,,,,,,,,
167,GarciaGarcia-2016-a,Gilthead seabream,Sparus aurata,,1 tonne at farm gate,Offshore cages,,Seabream harvested from offshore floating cages,Spain,,,1 farm,,Intensive,,,,,,,,,,,,,,,,,,,,,,,,
168,Abdou-2017-a,European seabass,Dicentrarchus labrax,,1 tonne at farm gate,Offshore cages,Commercial,Seabass harvested in offshore floating cages,Tunisia,,2015,1 farm,,Intensive,,,,,,,,,,,,,,,,,,,,,,,,
169,McGrath-2015-a,Chinook(=Spring=King) salmon,Oncorhynchus tshawytscha,,1 tonne live weight,Solid-walled aquaculture system,Experimental,Actual production system of emerging SWAS aquaculture technology containing chinook salmon,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,
171,Ziegler-2013-a,Atlantic salmon,Salmo salar,,1 kg edible yield,Unspecified,,Norwegian-produced Atlantic salmon that was gutted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Ziegler-2013-a,Atlantic salmon,Salmo salar,,1 kg edible yield,Unspecified,,Norwegian-produced Atlantic salmon that was gutted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Wilfart-2013-a,Atlantic salmon,Salmo salar,,1 tonne live weight,Recirculating system,,Atlantic salmon produced in a recirculating system,France,Normandy,2009,1 tank,,Intensive,,,,,,,,,,,,,,,,,,,,,,,,
174,Hognes-2014-a,Atlantic salmon,Salmo salar,,1 kg edible salmon at farm gate,Marine net-pen,,Atlantic salmon produced in marine-net pens,Norway,,2010,,,Intensive,,,,,,0,,,1.3,Compound,0,57,42,0,,,,,,,,Rob,12/20/03,
175,Hognes-2014-a,Atlantic salmon,Salmo salar,,1 kg edible salmon at farm gate,Marine net-pen,,Atlantic salmon produced in marine-net pens using feed with a higher vegetable content that the feed used in 2010,Norway,,2012,,,Intensive,,,,,,0,,,1.2,Compound,0,66,31,0,,,,,,,,Rob,12/20/03,
176,Parker-2018-a,Atlantic salmon,Salmo salar,,1 kg head-on gutted product,Marine net-pen,,Atlantic salmon reared in Tasmania,,,,,,Intensive,,,,,,,,,,,,,,,,,,,,,,,,
178,Ayer-2016-a,Atlantic salmon,Salmo salar,,1 tonne live weight,Marine net-pen,,Chilean industry-average of Atlantic salmon produced in nylon net pens,Chile,,2012,Industry average,,Intensive,,,,,,0,,,1.5,Compound,,,,,,,35,,9,,,Rob,12/20/03,
179,Liu-2016-a,Atlantic salmon,Salmo salar,,1 kg head-on gutted product,Land-based recirculating system,,Atlantic salmon produced in open net pens in the United States using typical US energy mix,United States,,,,,Intensive,,,,,,0,,,1.1,Compound,,,,,,5460,,,,,,Rob,12/20/03,
180,Liu-2016-a,Atlantic salmon,Salmo salar,,1 kg head-on gutted product,Land-based recirculating system,,Atlantic salmon produced in RAS systems in the United States using energy source consisting of 90% hydrower and 10% coal,United States,,,,,Intensive,,,,82,,,,,,,,,,,,,,,,,,,,
181,Liu-2016-a,Atlantic salmon,Salmo salar,,1 kg head-on gutted product,Marine net-pen,,Atlantic salmon produced in RAS aquaculture systems in Norway and airfreighted to the US market,Norway,,,,,Intensive,,,,,,0,,,1.3,Compound,,,,,,,11,,,,,Rob,12/20/03,
182,Liu-2016-a,Atlantic salmon,Salmo salar,,1 kg head-on gutted product,Marine net-pen,,Atlantic salmon produced in open net pen aquaculture systems in Norway,,,,,,Intensive,,,,,,,,,,,,,,,,,,,,,,,,
183,Dekamin-2015-a,Rainbow trout,Oncorhynchus mykiss,,1 tonne live weight,Flow-through,,Rainbow trout produced in flow-through aquaculture systems,Iran,,,,,Intensive,,,,,,50,,,1.2,Compound,5,46,35,13,,648,14,,,,,Rob,12/20/03,
184,Dekamin-2015-a,Rainbow trout,Oncorhynchus mykiss,,1 tonne live weight,Recirculating system,,Rainbow trout produced in recirculating aquaculture systems,Iran,,,,,Intensive,,,,,,2,,,,,,,,,,,,,,,,,,
185,Dekamin-2015-a,Rainbow trout,Oncorhynchus mykiss,,1 tonne live weight,Semi-closed recirculating system,,Rainbow trout produced in semi-closed recirculating aquaculture systems,Iran,,,,,Intensive,,,,,,5,,,1.6,Compound,5,46,35,13,,7603,118,,,,,Rob,12/20/03,
186,Chen-2015-a,Rainbow trout,Oncorhynchus mykiss,,1 tonne raw fish,Flow-through,,Pan-sized trout (250-400g) produced in flow-through aquaculture systems,France,,2007-2011,5 farms,,Intensive,,,,,,,,,,,,,,,,,,,,,,,,
187,Chen-2015-a,Rainbow trout,Oncorhynchus mykiss,,1 tonne raw fish,Flow-through,,Large- and mix-sized trout (200-3000g) produced in flow-through aquaculture systems,France,,2007-2011,9 farms,,Intensive,,,,,,,,,,,,,,,,,,,,,,,,
188,Chen-2015-a,Rainbow trout,Oncorhynchus mykiss,,1 tonne raw fish,Flow-through,,Very large-sized trout (> 2000g) produced in flow-through aquaculture systems,France,,2007-2011,10 farms,,Intensive,,,,,,,,,,,,,,,,,,,,,,,,
189,Silvenius-2017-a,Rainbow trout,Oncorhynchus mykiss,,1 tonne skinless fillet,Marine net-pen,,Rainbow trout produced in marine net-pen production systems using a conventional feed,Finland,,2009-2011,,,Intensive,,,0,,,,,,1.2,Compound,,,,,,,,,,,,Rob,12/20/03,Inventory data may still be coming
190,Avadi-2015-b,Rainbow trout,Oncorhynchus mykiss,,1 tonne live weight,Semi-intensive cages,,Trout produced in semi-intensive ponds in Peru,,,,,,Semi-intensive,,,,,,,,,,,,,,,,,,,,,,,,
191,Henriksson et al. 2017,Tilapia,Oreochromis niloticus,,1 tonne live wet-weight,Earthen pond aquaculture,,Conventional,Egypt,Nile delta,2014,40,,Intensive,,,8,,,,,,,,,,,,,,,,,,,,,
192,Henriksson et al. 2017,Tilapia,Oreochromis niloticus,,1 tonne live wet-weight,Earthen pond aquaculture,Best management practices,Best management practices,Egypt,Nile delta,2014,69,,Intensive,,,7,,,,,,,,,,,,,,,,,,,,,
193,Henriksson et al. 2017,Tilapia,Oreochromis niloticus,Abbassa G9,1 tonne live wet-weight,Earthen pond aquaculture,,Abbassa strain,Egypt,Nile delta,2014,13,,Intensive,,,9,,,,,,,,,,,,,,,,,,,,,
194,Henriksson et al. 2017,Tilapia,Oreochromis niloticus,Abbassa G9,1 tonne live wet-weight,Earthen pond aquaculture,Best management practices,Abbassa and BMP,Egypt,Nile delta,2014,15,,Intensive,,,8,,,,,,,,,,,,,,,,,,,,,
195,Henriksson et al. 2015,Whiteleg shrimp,Litopenaeus vannamei,,1 tonne Peeled tail-on,,,High-level ponds,China,Guangdong province,2010,100, ,Intensive,,,15,,,,,,,,,,,,,,,,,,,,,
196,Henriksson et al. 2015,Whiteleg shrimp,Litopenaeus vannamei,,1 tonne Peeled tail-on,,,Low-level earthen ponds,China,Guangdong province,2010,99,,Semi-intensive,,,5,,,,,,,,,,,,,,,,,,,,,
197,Henriksson et al. 2015,Whiteleg shrimp,Litopenaeus vannamei,,1 tonne Peeled tail-on,,,Eastern Thailand,Thailand,Eastern Thailand,2010,104,,Intensive,,,12,,,,,,,,,,,,,,,,,,,,,
198,Henriksson et al. 2015,Whiteleg shrimp,Litopenaeus vannamei,,1 tonne Peeled tail-on,,,Southern Thailand,Thailand,Southern Thailand,2010,77,,Intensive,,,13,,,,,,,,,,,,,,,,,,,,,
199,Henriksson et al. 2015,Whiteleg shrimp,Litopenaeus vannamei,,1 tonne Peeled tail-on,,,,Vietnam,Ben Tre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Henriksson et al. 2015,Asian Tiger shrimp,Penaeus monodon,,1 tonne headless shell-on,,,Intensive,Vietnam,Soc Trang,2010,20,,Intensive,,,4,,,,,,,,,,,,,,,,,,,,,
201,Henriksson et al. 2015,Asian Tiger shrimp,Penaeus monodon,,1 tonne headless shell-on,,,Semi-intensive,Vietnam,Soc Trang & Bc Lieu,2010,60,,Semi-intensive,,,2,,,,,,,,,,,,,,,,,,,,,
202,Henriksson et al. 2015,Asian Tiger shrimp,Penaeus monodon,,1 tonne headless shell-on and 810 kg fish,,,,Bangladesh,Western BD,2010,65,,Improved extensive,,,,,,,,,0.557,Compound,28,44,17,11,Hand fed,5,150,,,81.5,kg wood,Patrik,3/20/04,
203,Henriksson et al. 2015,Asian Tiger shrimp,Penaeus monodon,,1 tonne headless shell-on and 16 kg fish,,,,Bangladesh,Eastern BD,2010,24,,Improved extensive,,,,,,,,,1.672,Compound,28,44,17,11,Hand fed,88,121,,,1813,kg wood,Patrik,3/20/04,
204,Henriksson et al. 2015,Tilapia,Oreochromis niloticus,,1 tonne fillets,Earthen pond aquaculture,,Polyculture w/carp,China,Guangdong,2010,29,,Semi-intensive,,Polyculture,,,,293,,,1.48,Compound,27.6,65.1,7.3,0,Hand fed or feeding machine,528,1.081730769,0.1,,,,Patrik,6/20/04,
205,Henriksson et al. 2015,Tilapia,Oreochromis niloticus,,1 tonne fillets,Earthen pond aquaculture,,Polyculture w/carp,China,Hainan,2010,59,,Semi-intensive,,Polyculture,,,,438,,,,,,,,,,,,,,,,,,
206,Henriksson et al. 2015,Tilapia,Oreochromis niloticus,,1 tonne fillets,Reservoirs,,Reservoirs,China,Guangdon and Hainan,2010,7,,Semi-intensive,,,,,,318,,,,,,,,,,,,,,,,,,
207,Henriksson et al. 2015,Tilapia,Oreochromis niloticus,,1 tonne fillets,Earthen pond aquaculture integrated with pigs,,Integrated with pigs,China,Maoming,,,,,,IAA,,,,,,,,,,,,,,,,,,,,,,
208,Henriksson et al. 2015,Pangasius,Pangasius hypophthalmus,,1 tonne fillets,Earthen pond aquaculture,,Small farms,Vietnam,An Giang and Can Tho,2010,110,,Intensive,,,236,,240,2,,,,,,,,,,,,,,,,,,
209,Henriksson et al. 2015,Pangasius,Pangasius hypophthalmus,,1 tonne fillets,Earthen pond aquaculture,,Medium farms,Vietnam,An Giang and Can Tho,2010,64,,Intensive,,,286,,240,2,,,,,,,,,,,,,,,,,,
210,Henriksson et al. 2015,Pangasius,Pangasius hypophthalmus,,1 tonne fillets,Earthen pond aquaculture,,Large farms,Vietnam,An Giang and Can Tho,2010,38,,Intensive,,,301,,236,2,,,,,,,,,,,,,,,,,,
211,Henriksson et al. 2019,Tilapia,Oreochromis niloticus,,1 tonne live wet-weight,Earthern ponds,,,Indonesia,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Henriksson et al. 2019,Tilapia,Oreochromis niloticus,,1 tonne live wet-weight,Floating cages,,,Indonesia,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Henriksson et al. 2019,Common carp,Cyprinus carpio,,1 tonne live wet-weight,Earthern/concrete ponds,,,Indonesia,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Henriksson et al. 2019,Common carp,Cyprinus carpio,,1 tonne live wet-weight,Floating cages,,,Indonesia,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Henriksson et al. 2019,Clarias,Clarias batrachus,,1 tonne live wet-weight,Earthern ponds,,,Indonesia,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Henriksson et al. 2019,Pangasius,Pangasius hypophthalmus,,1 tonne live wet-weight,Earthen pond aquaculture,,,Indonesia,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Henriksson et al. 2019,Pangasius,Pangasius hypophthalmus,,1 tonne live wet-weight,Net-pens,,,Indonesia,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Henriksson et al. 2019,Milkfish,Chanos chanos,,1 tonne live wet-weight,Earthen pond monoculture,,,Indonesia,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Henriksson et al. 2019,P. monodon,Penaeus monodon,,1 tonne live wet-weight milkfish & 786 kg shrimp,Earthen pond tambak,,,Indonesia,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Henriksson et al. 2019,L vannamei,Litopenaeus vannamei,,1 tonne live wet-weight,Earthen pond aquaculture,,,Indonesia,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Henriksson et al. 2019,Grouper,Epinephelus spp.,,1 tonne live wet-weight,Floating cages,,,Indonesia,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Robb et al. 2017,Nile tilapia,Oreochromis niloticus,,1 tonne live wet-weight,Earthen pond aquaculture,,,Bangladesh,,2014,10,,Semi-intensive,,,19,,,,,,,,,,,,,,,,,,,,,
223,Robb et al. 2017,Major carps,Labeo rohita and Catla Catla,,1 tonne live wet-weight,Earthen pond aquaculture,,,India,,2014,6,,Semi-intensive,,,9,,,,,,,,,,,,,,,,,,,,,
224,Robb et al. 2017,Pangasius,Pangasius hypophthalmus,,1 tonne live wet-weight,Earthen pond aquaculture,,,Vietnam,,2014,10,,Intensive,,,349,,220,1,,,,,,,,,,,,,,,,,,
,SFW (company data),Atlantic salmon,Salmo salar,,,Net pen,,,Norway,,2016,,,Intensive,,,,,,,,,1.31,Assumed compound,0,24.9,74.8,0,,,,,,,,Rob,12/20/03,
,SFW (company data),Atlantic salmon,Salmo salar,,,Net pen,,,Norway,,2016,,,Intensive,,,,,,,,,1.31,Assumed compound,0,24.1,75.9,0,,,,,,,,Rob,12/20/03,
,SFW (company data),Atlantic salmon,Salmo salar,,,Net pen,,,Norway,,2016,,,Intensive,,,,,,,,,1.31,Assumed compound,0,24,72.2,0,,,,,,,,Rob,12/20/03,
,SFW (company data),Atlantic salmon,Salmo salar,,,Net pen,,,Scotland,,2016,,,Intensive,,,,,,,,,1.25,Assumed compound,0,49,47,0,,,,,,,,Rob,12/20/03,
,SFW (company data),Atlantic salmon,Salmo salar,,,Net pen,,,Chile,,2016,,,Intensive,,,,,,,,,1.48,Assumed compound,0,21,64,13.5,,,,,,,,Rob,12/20/03,
,SFW (company data),Atlantic salmon,Salmo salar,,,Net pen,,,Canada,BC,2015,,,Intensive,,,,,,,,,1.25,Assumed compound,0,35,32,33,,,,,,,,Rob,12/20/03,
,SFW (company data),Atlantic salmon,Salmo salar,,,Net pen,,,Canada,Eastern,2012,,,Intensive,,,,,,,,,1.69,Assumed compound,0,15.02,35,42,,,,,,,,Rob,12/20/03,
,SFW (company data),Atlantic salmon,Salmo salar,,,Net pen,,,Norway,,2015,,,Intensive,,,,,,,,,1.12,Assumed compound,0,30.86,69.14,0,,,,,,,,Rob,12/20/03,
,SFW (company data),Atlantic salmon,Salmo salar,,,Net pen,,,Norway,,2015,,,Intensive,,,,,,,,,1.12,Assumed compound,0,30.86,65.08,0,,,,,,,,Rob,12/20/03,
,SFW (company data),Atlantic salmon,Salmo salar,,,Net pen,,,Chile,,2015,,,Intensive,,,,,,,,,1.74,Assumed compound,0,15.46,60,20.6,,,,,,,,Rob,12/20/03,
,SFW (company data),Atlantic salmon,Salmo salar,,,Net pen,,,Chile,,2015,,,Intensive,,,,,,,,,1.74,Assumed compound,0,15.6,59.8,20.6,,,,,,,,Rob,12/20/03,
,SFW (company data),Atlantic salmon,Salmo salar,,,Net pen,,,Chile,,2016,,,Intensive,,,,,,,,,1.33,Assumed compound,0,18.37,71.6,10,,,,,,,,Rob,12/20/03,
,SFW (company data),Chinook(=Spring=King) salmon,Oncorhynchus tshawytscha,,,Net pen,,,New Zealand,,2013,,,,,,,,,,,,1.75,Assumed compound,0,17.4,35.2,42.8,,,,,,,,Rob,12/20/03,
,SFW (company data),Chinook(=Spring=King) salmon,Oncorhynchus tshawytscha,,,Freshwater net pen (?),,,New Zealand,,2013,,,,,,,,,,,,1.4,Assumed compound,0,26,59,15,,,,,,,,Rob,12/20/03,
,SFW (company data),Coho(=Silver) salmon,Oncorhynchus kisutch,,,Net pen,,,Chile,,2016,,,,,,,,,,,,1.2,Assumed compound,0,22,64,13.5,,,,,,,,Rob,12/20/03,
,SFW (company data),Nile tilapia,Oreochromis niloticus,,,Raceway,,,Peru,,2014,,,Intensive,,,,,,,,,1.8,Assumed compound,0,10.5,89,0,,,,,,,,Rob,12/20/03,Assumed Nile tilapia (listed as Tilapia)
,SFW,Nile tilapia,Oreochromis niloticus,,,Ponds,,,Ecuador,,2011,,,,,,,,,,,,1.7,Assumed compound,0,5,80,15,,,,,,,,Rob,12/20/03,Assumed Nile tilapia (listed as Tilapia)
,SFW,Nile tilapia,Oreochromis niloticus,,,Ponds,,,China,,2011,,,,,,,,,,,,1.3,Assumed compound,0,4,87,6,,,,,,,,Rob,12/20/03,Assumed Nile tilapia (listed as Tilapia)
,SFW (from literature),Nile tilapia,Oreochromis niloticus,,,Ponds,,,Taiwan,,,,,,,,,,,,,,1.8,Assumed compound,0,1.5,98.5,0,,,,,,,,Rob,12/20/03,Assumed Nile tilapia
,SFW (company data),Nile tilapia,Oreochromis niloticus,,,Ponds,,,Colombia,,2015,,,,,,,,,,,,1.6,Assumed compound,0,5.97,81.2,12.3,,,,,,,,Rob,12/20/03,Assumed Nile tilapia (listed as Tilapia)
,SFW (company data),Nile tilapia,Oreochromis niloticus,,,Net pen,,,Honduras,,2016,,,,,,,,,,,,1.8,Assumed compound,0,4,74.9,17,,,,,,,,Rob,12/20/03,Assumed Nile tilapia (listed as Tilapia)
,SFW (company data),Nile tilapia,Oreochromis niloticus,,,Net pen,,,Indonesia,,2014,,,,,,,,,,,,1.9,Assumed compound,0,10.3,89.7,7.7,,,,,,,,Rob,12/20/03,Assumed Nile tilapia (listed as Tilapia)
,SFW (company data),Nile tilapia,Oreochromis niloticus,,,Net pen,,,Mexico,,2014,,,,,,,,,,,,1.75,Assumed compound,0,3.75,75,14,,,,,,,,Rob,12/20/03,Assumed Nile tilapia (listed as Tilapia)
,SFW (from literature),Striped catfish,Pangasianodon hypophthalmus,,,Ponds,,,USA,,2012,,,,,,,,,,,,2.2,Assumed compound,0,2,92.5,5,,,,,,,,Rob,12/20/03,Assumed Striped catfish (listed as catfish)
,SFW (from literature),Pangas catfishes nei,Pangasius spp,,,Ponds,,,China,,,,,,,,,,,,,,2.57,Assumed compound,0,7,93,0,,,,,,,,Rob,12/20/03,Assumed Pangasius (listed as catfish)
,SFW (from expert),Pangas catfishes nei,Pangasius spp,,,Ponds / pens,,,Vietnam,,2013,,,,,,,,,,,,1.6,Assumed compound,0,5,92,0,,,,,,,,Rob,12/20/03,SFW values are difficult to determine if they double count values we have from elsewhere. I've avoided records that explicitly state that they are from a particular LCA or other data that we already include
,SFW (from expert),Gilthead seabream,Sparus aurata,,,Net pen,,,Mediterranean,,2013,,,,,,,,,,,,2,Assumed compound,0,31,65.6,3.36,,,,,,,,Rob,12/20/03,SFW values are difficult to determine if they double count values we have from elsewhere. I've avoided records that explicitly state that they are from a particular LCA or other data that we already include
,SFW (from expert),European seabass,Dicentrarchus labrax,,,Net pen,,,Mediterranean,,2013,,,,,,,,,,,,2,Assumed compound,0,31,65.6,3.36,,,,,,,,Rob,12/20/03,SFW values are difficult to determine if they double count values we have from elsewhere. I've avoided records that explicitly state that they are from a particular LCA or other data that we already include
,SFW (lit and expert),Striped bass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
