SeaWEED ID,Source,Species common name,Species scientific name,Strain,Product,Production_system,Note_on_system,Description,Country,Specific_location,Year,Sample_size,Environment,Intensity,Experimental,Polyculture_IAA,Yield_t_per_Ha,Yield_kg_per_m3,Grow_out_period_days,m2a_t,m3a_t,Mortality_rate,FCR,Feed_type,Feed_soy_percent,Feed_othercrops_percent,Feed_FMFO_percent,Feed_animal_percent,Feed_method,Electricity_kwh,Diesel_L,Petrol_L,NaturalGas_L,Energy_demand,Energy_units,Person_entering,Date_entered,Notes
,SFW (from literature),Whiteleg shrimp,Penaeus vannamei,,,Ponds,,,Indonesia,,,,,,,,,,,,,,1.42,Assumed compound,0,27.3,72.7,0,,,,,,,,Rob,12/20/03,SFW values are difficult to determine if they double count values we have from elsewhere. I've avoided records that explicitly state that they are from a particular LCA or other data that we already include
,SFW (from literature),Whiteleg shrimp,Penaeus vannamei,,,Ponds,,,China,,,,,,,,,,,,,,1.6,Assumed compound,0,31.5,68.5,0,,,,,,,,Rob,12/20/03,SFW values are difficult to determine if they double count values we have from elsewhere. I've avoided records that explicitly state that they are from a particular LCA or other data that we already include
,SFW (from literature),Whiteleg shrimp,Penaeus vannamei,,,Ponds,,,Mexico,,2008,,,,,,,,,,,,2.3,Assumed compound,0,19,0,0,,,,,,,,Rob,12/20/03,SFW values are difficult to determine if they double count values we have from elsewhere. I've avoided records that explicitly state that they are from a particular LCA or other data that we already include
,SFW (from expert),Sturgeons nei,Acipenseridae,,,Tanks / raceway,,,USA,,2013,,,Intensive,,,,,,,,,2.5,Assumed compound,0,28.8,71.2,0,,,,,,,,Rob,12/20/03,SFW values are difficult to determine if they double count values we have from elsewhere. I've avoided records that explicitly state that they are from a particular LCA or other data that we already include
,SFW (lit and expert),Rainbow trout,Oncorhynchus mykiss,,,Tanks / raceway,,,USA,,2016,,,Intensive,,,,,,,,,1.16,Assumed compound,0,26,58.4,15.6,,,,,,,,Rob,12/20/03,SFW values are difficult to determine if they double count values we have from elsewhere. I've avoided records that explicitly state that they are from a particular LCA or other data that we already include
,SFW (company data),Rainbow trout,Oncorhynchus mykiss,,,Net pen,,,USA,,2016,,,,,,,,,,,,1.6,Assumed compound,0,25,50,25,,,,,,,,Rob,12/20/03,
,SFW (company data),Rainbow trout,Oncorhynchus mykiss,,,Saltwater net pen,,,Chile,,2015,,,,,,,,,,,,1.52,Assumed compound,0,17.7,77.6,0,,,,,,,,Rob,12/20/03,
,SFW (company data),Barramundi,Lates calcarifer,,,Net pen,,,Vietnam,,,,,,,,,,,,,,1.35,Assumed compound,0,30,38,30,,,,,,,,Rob,12/20/03,
,SFW (from literature),Bluefin tuna,Thunnus thynnus,,,Net pen,,,Mediterranean,,,,,,,,,,,,,,20,Whole baitfish,0,0,100,0,,,,,,,,Rob,12/20/03,Assumed Atlantic bluefin (listed as bluefin)
,SFW (from literature),Bluefin tuna,Thunnus orientalis,,,Net pen,,,Japan,,,,,,,,,,,,,,15,Whole baitfish,0,0,100,0,,,,,,,,Rob,12/20/03,Assumed Pacific bluefin (listed as bluefin)
,SFW (from literature),Bluefin tuna,Thunnus orientalis,,,Net pen,,,Mexico,,,,,,,,,,,,,,15,Whole baitfish,0,0,100,0,,,,,,,,Rob,12/20/03,Assumed Pacific bluefin (listed as bluefin)
,Newton and Little 2018,Atlantic salmon,Salmo salar,,1.0 t of head-on gutted (HOG) Atlantic salmon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Giant river prawn,Macrobrachium rosenbergii,,,Ponds,Earthen ponds,,Brazil,,,24,,,,,1.283,,165,,,40%/cycle,1.8,Compound,33,31,27,,,,,,,,,Jessica,7/20/04,Most of the data is from lit values
,,Amazon river prawn,Macrobrachium amazonicum,,,Ponds,Earthen ponds,,Brazil,,,24,,,,,1.8,,165,,,40%/cycle,3,Compound,32.6,30.7,26.7,0,,,,,,,,Jessica,7/20/04,Most of the data is from lit values
