Species (ASFIS species),Species (Main grouping),Species (Order),Species (Family),Species (ASFIS species),Species (ASFIS species),Aquaculture area (FAO major fishing area),Environment (Environment)
Masu(=Cherry) salmon,PISCES,SALMONIFORMES,SALMONIDAE,Oncorhynchus masou,1230100905,All,Marine
Sockeye(=Red) salmon,PISCES,SALMONIFORMES,SALMONIDAE,Oncorhynchus nerka,1230100906,All,Marine
Pacific salmons nei,PISCES,SALMONIFORMES,SALMONIDAE,Oncorhynchus spp,12301009XX,All,Freshwater
Groundfishes nei,PISCES,PISCES MISCELLANEA,,Osteichthyes,199XXXXXXX007,All,Marine
European flat oyster,MOLLUSCA,BIVALVIA,OSTREIDAE,Ostrea edulis,3160700205,All,Brackishwater
Flat oysters nei,MOLLUSCA,BIVALVIA,OSTREIDAE,Ostrea spp,31607002XX,All,Marine
Olympia oyster,MOLLUSCA,BIVALVIA,OSTREIDAE,Ostreola conchaphila,3160701102,All,Marine
Marble goby,PISCES,GOBIOIDEI,ELEOTRIDAE,Oxyeleotris marmorata,1732005101,All,Brackishwater
Signal crayfish,CRUSTACEA,REPTANTIA,ASTACIDAE,Pacifastacus leniusculus,2290307601,All,Freshwater
Common pandora,PISCES,PERCOIDEI,SPARIDAE,Pagellus erythrinus,1703900802,All,Marine
Silver seabream,PISCES,PERCOIDEI,SPARIDAE,Pagrus auratus,1703919115,All,Brackishwater
Japanese seabream,PISCES,PERCOIDEI,SPARIDAE,Pagrus major,1703919116,All,Brackishwater
Pargo breams nei,PISCES,PERCOIDEI,SPARIDAE,Pagrus spp,17039191XX,All,Marine
Baltic prawn,CRUSTACEA,NATANTIA,PALAEMONIDAE,Palaemon adspersus,2281201801,All,Brackishwater
Common prawn,CRUSTACEA,NATANTIA,PALAEMONIDAE,Palaemon serratus,2281201810,All,Brackishwater
Palaemonid shrimps nei,CRUSTACEA,NATANTIA,PALAEMONIDAE,Palaemonidae,22812XXXXX046,All,Brackishwater
Spiny lobsters nei,CRUSTACEA,REPTANTIA,PALINURIDAE,Palinuridae,22901XXXXX,All,Marine
Palinurid spiny lobsters nei,CRUSTACEA,REPTANTIA,PALINURIDAE,Palinurus spp,22901008XX,All,Marine
Pangas catfishes nei,PISCES,SILURIFORMES,PANGASIIDAE,Pangasius spp,14130002XX,All,Brackishwater
Japanese spiny lobster,CRUSTACEA,REPTANTIA,PALINURIDAE,Panulirus japonicus,2290100102,All,Brackishwater
Japanese spiny lobster,CRUSTACEA,REPTANTIA,PALINURIDAE,Panulirus japonicus,2290100102,All,Marine
Rooster venus,MOLLUSCA,BIVALVIA,VENERIDAE,Paphia gallus,3161104103,All,Marine
Stony sea urchin,INVERTEBRATA AQUATICA,ECHINOIDEA,ECHINIDAE,Paracentrotus lividus,6930400701,All,Marine
Bastard halibut,PISCES,PLEURONECTIFORMES,PARALICHTHYIDAE,Paralichthys olivaceus,1830804601,All,Brackishwater
Southern Australia scallop,MOLLUSCA,BIVALVIA,PECTINIDAE,Pecten fumatus,3160800316,All,Marine
Sichel,PISCES,CYPRINIFORMES,CYPRINIDAE,Pelecus cultratus,1400210001,All,Freshwater
Brown tiger prawn,CRUSTACEA,NATANTIA,PENAEIDAE,Penaeus esculentus,2280100121,All,Brackishwater
Brown tiger prawn,CRUSTACEA,NATANTIA,PENAEIDAE,Penaeus esculentus,2280100121,All,Marine
Banana prawn,CRUSTACEA,NATANTIA,PENAEIDAE,Penaeus merguiensis,2280100103,All,Marine
Eastern king prawn,CRUSTACEA,NATANTIA,PENAEIDAE,Penaeus plebejus,2280100113,All,Brackishwater
Eastern king prawn,CRUSTACEA,NATANTIA,PENAEIDAE,Penaeus plebejus,2280100113,All,Marine
Green tiger prawn,CRUSTACEA,NATANTIA,PENAEIDAE,Penaeus semisulcatus,2280100120,All,Brackishwater
Green tiger prawn,CRUSTACEA,NATANTIA,PENAEIDAE,Penaeus semisulcatus,2280100120,All,Marine
Northern white shrimp,CRUSTACEA,NATANTIA,PENAEIDAE,Penaeus setiferus,2280100122,All,Marine
Percoids nei,PISCES,PERCOIDEI,,Percoidei,170XXXXXXX,All,Brackishwater
[Pimelodus spp],PISCES,SILURIFORMES,PIMELODIDAE,Pimelodus spp,14122022XX,All,Freshwater
European flounder,PISCES,PLEURONECTIFORMES,PLEURONECTIDAE,Platichthys flesus,1830204802,All,Brackishwater
Pollack,PISCES,GADIFORMES,GADIDAE,Pollachius pollachius,1480401502,All,Marine
Mississippi paddlefish,PISCES,ACIPENSERIFORMES,POLYODONTIDAE,Polyodon spathula,1170200201,All,Freshwater
Bluefish,PISCES,PERCOIDEI,POMATOMIDAE,Pomatomus saltatrix,1702021301,All,Brackishwater
"Swimming crabs, etc. nei",CRUSTACEA,BRACHYURA,PORTUNIDAE,Portunidae,23111XXXXX,All,Freshwater
Portunus swimcrabs nei,CRUSTACEA,BRACHYURA,PORTUNIDAE,Portunus spp,23111004XX,All,Brackishwater
Gazami crab,CRUSTACEA,BRACHYURA,PORTUNIDAE,Portunus trituberculatus,2311100404,All,Marine
Red swamp crawfish,CRUSTACEA,REPTANTIA,CAMBARIDAE,Procambarus clarkii,2290400101,All,Brackishwater
Waigieu seaperch,PISCES,PERCOIDEI,CENTROPOMIDAE,Psammoperca waigiensis,1700118001,All,Brackishwater
Waigieu seaperch,PISCES,PERCOIDEI,CENTROPOMIDAE,Psammoperca waigiensis,1700118001,All,Freshwater
Penguin wing oyster,MOLLUSCA,BIVALVIA,PTERIIDAE,Pteria penguin,3160602301,All,Freshwater
Penguin wing oyster,MOLLUSCA,BIVALVIA,PTERIIDAE,Pteria penguin,3160602301,All,Marine
Amazon sailfin catfish,PISCES,SILURIFORMES,LORICARIIDAE,Pterygoplichthys pardalis,1412804102,All,Freshwater
Red bait,INVERTEBRATA AQUATICA,ASCIDIACEA,PYURIDAE,Pyura stolonifera,6960900501,All,Marine
European green frog,"AMPHIBIA, REPTILIA",ANURA,RANIDAE,Rana ridibunda,5120100114,All,Freshwater
Vatani rohtee,PISCES,CYPRINIFORMES,CYPRINIDAE,Rohtee ogilbii,1400206701,All,Freshwater
Carpet shells nei,MOLLUSCA,BIVALVIA,VENERIDAE,Ruditapes spp,31611020XX,All,Marine
Kutum,PISCES,CYPRINIFORMES,CYPRINIDAE,Rutilus frisii,1400201802,All,Freshwater
Sydney cupped oyster,MOLLUSCA,BIVALVIA,OSTREIDAE,Saccostrea commercialis,3160700310,All,Marine
Sea trout,PISCES,SALMONIFORMES,SALMONIDAE,Salmo trutta,1230100402,All,Marine
Salmonoids nei,PISCES,SALMONIFORMES,,Salmonoidei,123XXXXXXX,All,Marine
Chars nei,PISCES,SALMONIFORMES,SALMONIDAE,Salvelinus spp,12301010XX,All,Marine
Scats,PISCES,ACANTHUROIDEI,SCATOPHAGIDAE,Scatophagus spp,17406330XX,All,Brackishwater
Sciaenas nei,PISCES,PERCOIDEI,SCIAENIDAE,Sciaena spp,17037009XX,All,Marine
Brown meagre,PISCES,PERCOIDEI,SCIAENIDAE,Sciaena umbra,1703700921,All,Brackishwater
"Croakers, drums nei",PISCES,PERCOIDEI,SCIAENIDAE,Sciaenidae,17037XXXXX,All,Marine
Mackerels nei,PISCES,SCOMBROIDEI,SCOMBRIDAE,Scombridae,17501XXXXX,All,Marine
Brill,PISCES,PLEURONECTIFORMES,SCOPHTHALMIDAE,Scophthalmus rhombus,1830506401,All,Brackishwater
Peppery furrow,MOLLUSCA,BIVALVIA,SCROBICULARIIDAE,Scrobicularia plana,3164800101,All,Marine
Common cuttlefish,MOLLUSCA,CEPHALOPODA,SEPIIDAE,Sepia officinalis,3210200202,All,Marine
Yellowtail amberjack,PISCES,PERCOIDEI,CARANGIDAE,Seriola lalandi,1702304806,All,Marine
Yellow-belly bream,PISCES,PERCOIDEI,CICHLIDAE,Serranochromis robustus,1705950002,All,Freshwater
Streaked spinefoot,PISCES,ACANTHUROIDEI,SIGANIDAE,Siganus javus,1740700105,All,Marine
Marbled spinefoot,PISCES,ACANTHUROIDEI,SIGANIDAE,Siganus rivulatus,1740700106,All,Marine
Freshwater siluroids nei,PISCES,SILURIFORMES,,Siluroidei,141XXXXXXX,All,Brackishwater
Soles nei,PISCES,PLEURONECTIFORMES,SOLEIDAE,Soleidae,18303XXXXX,All,Brackishwater
Diphos sanguin,MOLLUSCA,BIVALVIA,PSAMMOBIIDAE,Soletellina diphos,3163800701,All,Marine
Duckbill catfish,PISCES,SILURIFORMES,PIMELODIDAE,Sorubim lima,1412202302,All,Freshwater
Gilthead seabream,PISCES,PERCOIDEI,SPARIDAE,Sparus aurata,1703923508,All,Freshwater
Stromboid conchs nei,MOLLUSCA,GASTROPODA,STROMBIDAE,Strombus spp,30706002XX,All,Marine
Flathead lobster,CRUSTACEA,REPTANTIA,SCYLLARIDAE,Thenus orientalis,2291500501,All,Marine
Yellowfin tuna,PISCES,SCOMBROIDEI,SCOMBRIDAE,Thunnus albacares,1750102610,All,Marine
Pacific horse clam,MOLLUSCA,BIVALVIA,MACTRIDAE,Tresus nuttallii,3161200503,All,Marine
Giant clam,MOLLUSCA,BIVALVIA,TRIDACNIDAE,Tridacna gigas,3162605001,All,Marine
Fluted giant clam,MOLLUSCA,BIVALVIA,TRIDACNIDAE,Tridacna squamosa,3162605003,All,Marine
[Trochita spp],MOLLUSCA,GASTROPODA,CALYPTRAEIDAE,Trochita spp,30752001XX,All,Marine
Drums nei,PISCES,PERCOIDEI,SCIAENIDAE,Umbrina spp,17037070XX,All,Marine
Bluespot mullet,PISCES,MUGILIFORMES,MUGILIDAE,Valamugil seheli,1650104302,All,Brackishwater
Venus clams nei,MOLLUSCA,BIVALVIA,VENERIDAE,Veneridae,31611XXXXX,All,Marine
Golden carpet shell,MOLLUSCA,BIVALVIA,VENERIDAE,Venerupis aurea,3161100302,All,Marine
Banded carpet shell,MOLLUSCA,BIVALVIA,VENERIDAE,Venerupis rhomboides,3161100303,All,Marine
Vimba bream,PISCES,CYPRINIFORMES,CYPRINIDAE,Vimba vimba,1400209701,All,Freshwater
[Wallago spp],PISCES,SILURIFORMES,SILURIDAE,Wallago spp,14107075XX,All,Freshwater
Japanese eel,PISCES,ANGUILLIFORMES,ANGUILLIDAE,Anguilla japonica,1430200204,All,Brackishwater
American eel,PISCES,ANGUILLIFORMES,ANGUILLIDAE,Anguilla rostrata,1430200206,All,Freshwater
Freshwater drum,PISCES,PERCOIDEI,SCIAENIDAE,Aplodinotus grunniens,1703701101,All,Freshwater
Velvety cichlids,PISCES,PERCOIDEI,CICHLIDAE,Astronotus spp,17059313XX,All,Freshwater
Crevalle jack,PISCES,PERCOIDEI,CARANGIDAE,Caranx hippos,1702304429,All,Marine
Green turtle,"AMPHIBIA, REPTILIA",TESTUDINES,CHELONIIDAE,Chelonia mydas,5310700502,All,Brackishwater
Hong Kong catfish,PISCES,SILURIFORMES,CLARIIDAE,Clarias fuscus,1411803002,All,Freshwater
False abalone,MOLLUSCA,GASTROPODA,MURICIDAE,Concholepas concholepas,3070202301,All,Marine
Peled,PISCES,SALMONIFORMES,COREGONIDAE,Coregonus peled,1231200127,All,Freshwater
Longrayed whiptail,PISCES,GADIFORMES,MACROURIDAE,Coryphaenoides subserrulatus,1480600421,All,Marine
Three-spined stickleback,PISCES,GASTEROSTEIFORMES,GASTEROSTEIDAE,Gasterosteus aculeatus,1500100101,All,Freshwater
Bluegill,PISCES,PERCOIDEI,CENTRARCHIDAE,Lepomis macrochirus,1701001302,All,Freshwater
Monkey river prawn,CRUSTACEA,NATANTIA,PALAEMONIDAE,Macrobrachium lar,2281202334,All,Freshwater
Chum(=Keta=Dog) salmon,PISCES,SALMONIFORMES,SALMONIDAE,Oncorhynchus keta,1230100903,All,Freshwater
Bastard halibuts nei,PISCES,PLEURONECTIFORMES,PARALICHTHYIDAE,Paralichthys spp,18308046XX,All,Marine
Caramote prawn,CRUSTACEA,NATANTIA,PENAEIDAE,Penaeus kerathurus,2280100117,All,Brackishwater
Redtail prawn,CRUSTACEA,NATANTIA,PENAEIDAE,Penaeus penicillatus,2280100130,All,Brackishwater
Southern white shrimp,CRUSTACEA,NATANTIA,PENAEIDAE,Penaeus schmitti,2280100108,All,Brackishwater
European flounder,PISCES,PLEURONECTIFORMES,PLEURONECTIDAE,Platichthys flesus,1830204802,All,Marine
Okhotsk atka mackerel,PISCES,SCORPAENIFORMES,HEXAGRAMMIDAE,Pleurogrammus azonus,1780701402,All,Marine
White crappie,PISCES,PERCOIDEI,CENTRARCHIDAE,Pomoxis annularis,1701021401,All,Freshwater
[Solea spp],PISCES,PLEURONECTIFORMES,SOLEIDAE,Solea spp,18303007XX,All,Marine
Jack and horse mackerels nei,PISCES,PERCOIDEI,CARANGIDAE,Trachurus spp,17023004XX,All,Marine
Horned turban,MOLLUSCA,GASTROPODA,TURBINIDAE,Turbo cornutus,3070500202,All,Marine
Grass carp(=White amur),PISCES,CYPRINIFORMES,CYPRINIDAE,Ctenopharyngodon idellus,1400203501,All,Freshwater
Cupped oysters nei,MOLLUSCA,BIVALVIA,OSTREIDAE,Crassostrea spp,31607008XX,All,Marine
Silver carp,PISCES,CYPRINIFORMES,CYPRINIDAE,Hypophthalmichthys molitrix,1400204301,All,Freshwater
Japanese carpet shell,MOLLUSCA,BIVALVIA,VENERIDAE,Ruditapes philippinarum,3161102002,All,Marine
Common carp,PISCES,CYPRINIFORMES,CYPRINIDAE,Cyprinus carpio,1400200201,All,Freshwater
Whiteleg shrimp,CRUSTACEA,NATANTIA,PENAEIDAE,Penaeus vannamei,2280100111,All,Brackishwater
Nile tilapia,PISCES,PERCOIDEI,CICHLIDAE,Oreochromis niloticus,1705905102,All,Freshwater
Bighead carp,PISCES,CYPRINIFORMES,CYPRINIDAE,Hypophthalmichthys nobilis,1400204302,All,Freshwater
[Carassius spp],PISCES,CYPRINIFORMES,CYPRINIDAE,Carassius spp,14002016XX,All,Freshwater
Atlantic salmon,PISCES,SALMONIFORMES,SALMONIDAE,Salmo salar,1230100401,All,Marine
Freshwater fishes nei,PISCES,PISCES MISCELLANEA,,Osteichthyes,199XXXXXXX001,All,Freshwater
Scallops nei,MOLLUSCA,BIVALVIA,PECTINIDAE,Pectinidae,31608XXXXX,All,Marine
Roho labeo,PISCES,CYPRINIFORMES,CYPRINIDAE,Labeo rohita,1400202415,All,Freshwater
Pangas catfishes nei,PISCES,SILURIFORMES,PANGASIIDAE,Pangasius spp,14130002XX,All,Freshwater
Tilapias nei,PISCES,PERCOIDEI,CICHLIDAE,Oreochromis (=Tilapia) spp,17059051XX,All,Freshwater
Red swamp crawfish,CRUSTACEA,REPTANTIA,CAMBARIDAE,Procambarus clarkii,2290400101,All,Freshwater
Sea mussels nei,MOLLUSCA,BIVALVIA,MYTILIDAE,Mytilidae,31610XXXXX,All,Marine
Marine molluscs nei,MOLLUSCA,MOLLUSCA MISCELLANEA,,Mollusca,399XXXXXXX016,All,Marine
Striped catfish,PISCES,SILURIFORMES,PANGASIIDAE,Pangasianodon hypophthalmus,1413000301,All,Freshwater
Constricted tagelus,MOLLUSCA,BIVALVIA,SOLECURTIDAE,Sinonovacula constricta,3164000101,All,Marine
Wuchang bream,PISCES,CYPRINIFORMES,CYPRINIDAE,Megalobrama amblycephala,1400215101,All,Freshwater
Chinese mitten crab,CRUSTACEA,BRACHYURA,GRAPSIDAE,Eriocheir sinensis,2311302803,All,Freshwater
Black carp,PISCES,CYPRINIFORMES,CYPRINIDAE,Mylopharyngodon piceus,1400214401,All,Freshwater
Giant tiger prawn,CRUSTACEA,NATANTIA,PENAEIDAE,Penaeus monodon,2280100112,All,Brackishwater
Pacific cupped oyster,MOLLUSCA,BIVALVIA,OSTREIDAE,Crassostrea gigas,3160700801,All,Marine
Rainbow trout,PISCES,SALMONIFORMES,SALMONIDAE,Oncorhynchus mykiss,1230100909,All,Freshwater
Whiteleg shrimp,CRUSTACEA,NATANTIA,PENAEIDAE,Penaeus vannamei,2280100111,All,Freshwater
Cyprinids nei,PISCES,CYPRINIFORMES,CYPRINIDAE,Cyprinidae,14002XXXXX,All,Freshwater
Marine fishes nei,PISCES,PISCES MISCELLANEA,,Osteichthyes,199XXXXXXX010,All,Marine
Mrigal carp,PISCES,CYPRINIFORMES,CYPRINIDAE,Cirrhinus mrigala,1400202503,All,Freshwater
Snakehead,PISCES,OTHER PERCIFORMES,CHANNIDAE,Channa argus,1771900101,All,Freshwater
Yellow catfish,PISCES,SILURIFORMES,BAGRIDAE,Pelteobagrus fulvidraco,1410813001,All,Freshwater
Largemouth black bass,PISCES,PERCOIDEI,CENTRARCHIDAE,Micropterus salmoides,1701001402,All,Freshwater
Freshwater fishes nei,PISCES,PISCES MISCELLANEA,,Osteichthyes,199XXXXXXX001,All,Brackishwater
Pond loach,PISCES,CYPRINIFORMES,COBITIDAE,Misgurnus anguillicaudatus,1400504701,All,Freshwater
Amur catfish,PISCES,SILURIFORMES,SILURIDAE,Silurus asotus,1410703102,All,Freshwater
Channel catfish,PISCES,SILURIFORMES,ICTALURIDAE,Ictalurus punctatus,1411000202,All,Freshwater
Asian swamp eel,PISCES,SYNBRANCHIFORMES,SYNBRANCHIDAE,Monopterus albus,1680200101,All,Freshwater
Mandarin fish,PISCES,PERCOIDEI,PERCICHTHYIDAE,Siniperca chuatsi,1700829902,All,Freshwater
Chinese softshell turtle,"AMPHIBIA, REPTILIA",TESTUDINES,TRIONYCHIDAE,Trionyx sinensis,5311102401,All,Freshwater
Giant river prawn,CRUSTACEA,NATANTIA,PALAEMONIDAE,Macrobrachium rosenbergii,2281202307,All,Freshwater
Sea snails,MOLLUSCA,GASTROPODA,MURICIDAE,Rapana spp,30702018XX,All,Marine
Japanese eel,PISCES,ANGUILLIFORMES,ANGUILLIDAE,Anguilla japonica,1430200204,All,Freshwater
Oriental river prawn,CRUSTACEA,NATANTIA,PALAEMONIDAE,Macrobrachium nipponense,2281202304,All,Freshwater
Pirapatinga,PISCES,CHARACIFORMES,CHARACIDAE,Piaractus brachypomus,1380107601,All,Freshwater
North African catfish,PISCES,SILURIFORMES,CLARIIDAE,Clarias gariepinus,1411803003,All,Freshwater
Japanese sea cucumber,INVERTEBRATA AQUATICA,HOLOTHUROIDEA,STICHOPODIDAE,Apostichopus japonicus,6941400501,All,Marine
Coho(=Silver) salmon,PISCES,SALMONIFORMES,SALMONIDAE,Oncorhynchus kisutch,1230100908,All,Marine
Large yellow croaker,PISCES,PERCOIDEI,SCIAENIDAE,Larimichthys croceus,1703730304,All,Marine
European seabass,PISCES,PERCOIDEI,MORONIDAE,Dicentrarchus labrax,1700634503,All,Marine
Green mussel,MOLLUSCA,BIVALVIA,MYTILIDAE,Perna viridis,3161003202,All,Marine
Rainbow trout,PISCES,SALMONIFORMES,SALMONIDAE,Oncorhynchus mykiss,1230100909,All,Marine
Abalones nei,MOLLUSCA,GASTROPODA,HALIOTIDAE,Haliotis spp,30703001XX,All,Marine
Gilthead seabream,PISCES,PERCOIDEI,SPARIDAE,Sparus aurata,1703923508,All,Marine
Japanese seabass,PISCES,PERCOIDEI,LATEOLABRACIDAE,Lateolabrax japonicus,1704929701,All,Marine
Green mud crab,CRUSTACEA,BRACHYURA,PORTUNIDAE,Scylla paramamosain,2311114003,All,Brackishwater
Groupers nei,PISCES,PERCOIDEI,SERRANIDAE,Epinephelus spp,17002042XX,All,Marine
Yesso scallop,MOLLUSCA,BIVALVIA,PECTINIDAE,Patinopecten yessoensis,3160806607,All,Marine
Silver barb,PISCES,CYPRINIFORMES,CYPRINIDAE,Barbonymus gonionotus,1400233501,All,Freshwater
Japanese amberjack,PISCES,PERCOIDEI,CARANGIDAE,Seriola quinqueradiata,1702304802,All,Marine
Milkfish,PISCES,GONORYNCHIFORMES,CHANIDAE,Chanos chanos,1220200101,All,Freshwater
Milkfish,PISCES,GONORYNCHIFORMES,CHANIDAE,Chanos chanos,1220200101,All,Marine
Portunus swimcrabs nei,CRUSTACEA,BRACHYURA,PORTUNIDAE,Portunus spp,23111004XX,All,Marine
American cupped oyster,MOLLUSCA,BIVALVIA,OSTREIDAE,Crassostrea virginica,3160700803,All,Marine
Penaeus shrimps nei,CRUSTACEA,NATANTIA,PENAEIDAE,Penaeus spp,22801001XX,All,Brackishwater
"Africa-bighead catfish, hybrid",PISCES,SILURIFORMES,CLARIIDAE,Clarias gariepinus x C. macrocephalus,14118030XX032,All,Freshwater
New Zealand mussel,MOLLUSCA,BIVALVIA,MYTILIDAE,Perna canaliculus,3161003203,All,Marine
Chinese mystery snail,MOLLUSCA,GASTROPODA,VIVIPARIDAE,Cipangopaludina chinensis,3075100101,All,Freshwater
Indo-Pacific swamp crab,CRUSTACEA,BRACHYURA,PORTUNIDAE,Scylla serrata,2311114001,All,Brackishwater
Frogs,"AMPHIBIA, REPTILIA",ANURA,RANIDAE,Rana spp,51201001XX,All,Freshwater
Jellyfishes nei,INVERTEBRATA AQUATICA,SCYPHOZOA,RHIZOSTOMIDAE,Rhopilema spp,61841007XX,All,Marine
"Porgies, seabreams nei",PISCES,PERCOIDEI,SPARIDAE,Sparidae,17039XXXXX,All,Marine
"Freshwater prawns, shrimps nei",CRUSTACEA,NATANTIA,PALAEMONIDAE,Palaemonidae,22812XXXXX045,All,Freshwater
Korean mussel,MOLLUSCA,BIVALVIA,MYTILIDAE,Mytilus coruscus,3161000101,All,Marine
Red drum,PISCES,PERCOIDEI,SCIAENIDAE,Sciaenops ocellatus,1703741101,All,Marine
Swan mussel,MOLLUSCA,BIVALVIA,UNIONIDAE,Anodonta cygnea,3160500801,All,Freshwater
Silver seabream,PISCES,PERCOIDEI,SPARIDAE,Pagrus auratus,1703919115,All,Marine
Barramundi(=Giant seaperch),PISCES,PERCOIDEI,CENTROPOMIDAE,Lates calcarifer,1700116701,All,Brackishwater
Giant tiger prawn,CRUSTACEA,NATANTIA,PENAEIDAE,Penaeus monodon,2280100112,All,Marine
Lefteye flounders nei,PISCES,PLEURONECTIFORMES,BOTHIDAE,Bothidae,18301XXXXX,All,Marine
Gilthead seabream,PISCES,PERCOIDEI,SPARIDAE,Sparus aurata,1703923508,All,Brackishwater
Kuruma prawn,CRUSTACEA,NATANTIA,PENAEIDAE,Penaeus japonicus,2280100109,All,Brackishwater
Japanese hard clam,MOLLUSCA,BIVALVIA,VENERIDAE,Meretrix lusoria,3161101701,All,Brackishwater
Cobia,PISCES,PERCOIDEI,RACHYCENTRIDAE,Rachycentron canadum,1702222101,All,Marine
River and lake turtles nei,"AMPHIBIA, REPTILIA",TESTUDINES,,Testudinata,531XXXXXXX029,All,Freshwater
Aquatic invertebrates nei,INVERTEBRATA AQUATICA,INVERTEBRATA AQUATICA MISCELL.,,Invertebrata,699XXXXXXX,All,Marine
Bastard halibut,PISCES,PLEURONECTIFORMES,PARALICHTHYIDAE,Paralichthys olivaceus,1830804601,All,Marine
Aquatic invertebrates nei,INVERTEBRATA AQUATICA,INVERTEBRATA AQUATICA MISCELL.,,Invertebrata,699XXXXXXX,All,Freshwater
European seabass,PISCES,PERCOIDEI,MORONIDAE,Dicentrarchus labrax,1700634503,All,Brackishwater
Fleshy prawn,CRUSTACEA,NATANTIA,PENAEIDAE,Penaeus chinensis,2280100116,All,Brackishwater
Orangefin labeo,PISCES,CYPRINIFORMES,CYPRINIDAE,Labeo calbasu,1400202405,All,Freshwater
Groupers nei,PISCES,PERCOIDEI,SERRANIDAE,Epinephelus spp,17002042XX,All,Brackishwater
Freshwater molluscs nei,MOLLUSCA,MOLLUSCA MISCELLANEA,,Mollusca,399XXXXXXX014,All,Freshwater
Tiger pufferfish,PISCES,TETRAODONTIFORMES,TETRAODONTIDAE,Takifugu rubripes,1900201104,All,Marine
Trouts nei,PISCES,SALMONIFORMES,SALMONIDAE,Salmo spp,12301004XX,All,Freshwater
Amberjacks nei,PISCES,PERCOIDEI,CARANGIDAE,Seriola spp,17023048XX,All,Marine
Asian clam,MOLLUSCA,BIVALVIA,CORBICULIDAE,Corbicula fluminea,3162102504,All,Freshwater
Meagre,PISCES,PERCOIDEI,SCIAENIDAE,Argyrosomus regius,1703710601,All,Brackishwater
Tilapias nei,PISCES,PERCOIDEI,CICHLIDAE,Oreochromis (=Tilapia) spp,17059051XX,All,Brackishwater
Northern quahog(=Hard clam),MOLLUSCA,BIVALVIA,VENERIDAE,Mercenaria mercenaria,3161107501,All,Marine
Slipper cupped oyster,MOLLUSCA,BIVALVIA,OSTREIDAE,Crassostrea iredalei,3160700811,All,Marine
Korean rockfish,PISCES,SCORPAENIFORMES,SCORPAENIDAE,Sebastes schlegeli,1780100128,All,Marine
Pacific bluefin tuna,PISCES,SCOMBROIDEI,SCOMBRIDAE,Thunnus orientalis,1750102602,All,Marine
Chinese longsnout catfish,PISCES,SILURIFORMES,BAGRIDAE,Leiocassis longirostris,1410805102,All,Freshwater
Clearhead icefish,PISCES,SALMONIFORMES,SALANGIDAE,Protosalanx hyalocranius,1230900201,All,Freshwater
Pangas catfish,PISCES,SILURIFORMES,PANGASIIDAE,Pangasius pangasius,1413000202,All,Freshwater
Sea squirts nei,INVERTEBRATA AQUATICA,ASCIDIACEA,,Ascidiacea,696XXXXXXX,All,Marine
Peruvian calico scallop,MOLLUSCA,BIVALVIA,PECTINIDAE,Argopecten purpuratus,3160803003,All,Marine
Pen shells nei,MOLLUSCA,BIVALVIA,PINNIDAE,Atrina spp,31637001XX,All,Marine
Nile perch,PISCES,PERCOIDEI,CENTROPOMIDAE,Lates niloticus,1700116707,All,Freshwater
Righteye flounders nei,PISCES,PLEURONECTIFORMES,PLEURONECTIDAE,Pleuronectidae,18302XXXXX,All,Marine
Marine crabs nei,CRUSTACEA,BRACHYURA,,Brachyura,231XXXXXXX,All,Brackishwater
Orange mud crab,CRUSTACEA,BRACHYURA,PORTUNIDAE,Scylla olivacea,2311114002,All,Brackishwater
Chinook(=Spring=King) salmon,PISCES,SALMONIFORMES,SALMONIDAE,Oncorhynchus tshawytscha,1230100907,All,Marine
Pond smelt,PISCES,SALMONIFORMES,OSMERIDAE,Hypomesus olidus,1230400801,All,Freshwater
Rainbow trout,PISCES,SALMONIFORMES,SALMONIDAE,Oncorhynchus mykiss,1230100909,All,Brackishwater
Flat and cupped oysters nei,MOLLUSCA,BIVALVIA,OSTREIDAE,Ostreidae,31607XXXXX,All,Marine
Fourfinger threadfin,PISCES,PERCOIDEI,POLYNEMIDAE,Eleutheronema tetradactylum,1707700201,All,Brackishwater
Sea urchins nei,INVERTEBRATA AQUATICA,ECHINOIDEA,STRONGYLOCENTROTIDAE,Strongylocentrotus spp,69302004XX,All,Marine
Mangrove red snapper,PISCES,PERCOIDEI,LUTJANIDAE,Lutjanus argentimaculatus,1703202702,All,Brackishwater
Stinging catfish,PISCES,SILURIFORMES,HETEROPNEUSTIDAE,Heteropneustes fossilis,1413100101,All,Freshwater
Philippine catfish,PISCES,SILURIFORMES,CLARIIDAE,Clarias batrachus,1411803001,All,Freshwater
Southern bluefin tuna,PISCES,SCOMBROIDEI,SCOMBRIDAE,Thunnus maccoyii,1750102608,All,Marine
Ayu sweetfish,PISCES,SALMONIFORMES,PLECOGLOSSIDAE,Plecoglossus altivelis,1230301601,All,Freshwater
Reticulate knifefish,PISCES,OSTEOGLOSSIFORMES,NOTOPTERIDAE,Papyrocranus afer,1280200401,All,Freshwater
Atlantic bluefin tuna,PISCES,SCOMBROIDEI,SCOMBRIDAE,Thunnus thynnus,1750102601,All,Marine
Cortez oyster,MOLLUSCA,BIVALVIA,OSTREIDAE,Crassostrea corteziensis,3160700813,All,Brackishwater
Barramundi(=Giant seaperch),PISCES,PERCOIDEI,CENTROPOMIDAE,Lates calcarifer,1700116701,All,Freshwater
John's snapper,PISCES,PERCOIDEI,LUTJANIDAE,Lutjanus johnii,1703202707,All,Brackishwater
